Code,Date,Open,High,Low,Close,Volume
XAO,20011011,3073.699951,3138.899902,3073.699951,3133.100098,0
XAO,20011012,3133.100098,3175.899902,3133.100098,3159,0
XAO,20011015,3159,3159,3122,3133.899902,0
XAO,20011016,3133.899902,3155.199951,3133.899902,3145.800049,0
XAO,20011017,3145.800049,3170,3144.699951,3170,0
XAO,20011018,3170,3170,3118.800049,3134.100098,0
XAO,20011019,3134.100098,3134.100098,3108.300049,3111.399902,0
XAO,20011022,null,null,null,null,null
XAO,20011023,3116.800049,3153.399902,3116.800049,3149.300049,0
XAO,20011024,3149.300049,3187,3139.800049,3182.100098,0
XAO,20011025,3182.100098,3192.699951,3176.5,3189.100098,0
XAO,20011026,3189.100098,3218.899902,3189,3209.800049,0
XAO,20011029,3209.800049,3217.100098,3189.800049,3189.800049,0
XAO,20011030,3189.800049,3189.800049,3167.300049,3187.399902,0
XAO,20011031,3187.399902,3187.399902,3165.800049,3185.300049,0
XAO,20011101,3185.300049,3194.199951,3181.600098,3185.699951,0
XAO,20011102,3185.699951,3203.699951,3169.300049,3176.899902,0
XAO,20011105,3176.899902,3190.300049,3160.800049,3164.199951,0
XAO,20011106,3164.199951,3219.300049,3164.199951,3219.300049,0
XAO,20011107,3219.300049,3223.699951,3190.399902,3190.399902,0
XAO,20011108,3190.399902,3225.199951,3186.699951,3205.300049,0
XAO,20011109,3205.300049,3223.199951,3205.300049,3221.399902,0
XAO,20011112,3221.399902,3240.100098,3217.600098,3238.699951,0
XAO,20011113,3238.699951,3238.699951,3214.100098,3224.899902,0
XAO,20011114,3224.899902,3275.399902,3224.899902,3267,0
XAO,20011115,3267,3280.699951,3264.5,3276,0
XAO,20011116,3276,3276,3257.5,3257.5,0
XAO,20011119,3257.5,3267.300049,3246.399902,3267.300049,0
XAO,20011120,3267.300049,3295.399902,3267.300049,3288.300049,0
XAO,20011121,3288.300049,3288.300049,3268.899902,3272.5,0
XAO,20011122,3272.5,3272.5,3258.5,3262.399902,0
XAO,20011123,3262.399902,3281.5,3261.699951,3270.600098,0
XAO,20011126,3270.600098,3296,3270.199951,3284.699951,0
XAO,20011127,3284.699951,3304.800049,3284.699951,3291.399902,0
XAO,20011128,3291.399902,3294.300049,3283.399902,3290.699951,0
XAO,20011129,3290.699951,3290.699951,3262.300049,3267.5,0
XAO,20011130,3267.5,3300.300049,3267.5,3276.899902,0
XAO,20011203,3276.899902,3289.5,3262.300049,3268.600098,0
XAO,20011204,3268.600098,3276.199951,3262,3263.199951,0
XAO,20011205,3263.199951,3292.199951,3263.199951,3286.300049,0
XAO,20011206,3286.300049,3318.399902,3286.300049,3293.100098,0
XAO,20011207,3293.100098,3318.600098,3289.699951,3312.699951,0
XAO,20011210,3312.699951,3314.800049,3282.899902,3301.600098,0
XAO,20011211,3301.600098,3301.600098,3282.5,3300.199951,0
XAO,20011212,3300.199951,3303.600098,3262.600098,3265.300049,0
XAO,20011213,3265.300049,3268.5,3251.600098,3259,0
XAO,20011214,3259,3259,3235.399902,3237.699951,0
XAO,20011217,3237.699951,3254.5,3236,3236,0
XAO,20011218,3236,3268.800049,3236,3264.399902,0
XAO,20011219,3264.399902,3279.300049,3264.399902,3267.699951,0
XAO,20011220,3267.699951,3288,3265.600098,3286.100098,0
XAO,20011221,3286.100098,3318.600098,3273.899902,3314.100098,0
XAO,20011224,3314.100098,3332.199951,3314.100098,3328.699951,0
XAO,20011225,null,null,null,null,null
XAO,20011226,null,null,null,null,null
XAO,20011227,3328.699951,3360.5,3328.699951,3354.699951,0
XAO,20011228,3354.699951,3376,3354.699951,3363.800049,0
XAO,20011231,3363.800049,3373.5,3354.5,3359.899902,0
