ASX code,Company name,Security type,ISIN code
ADDAY,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2016 CLASS D EX $1.00,AU0000ADDAY9
AAU,ADCORP AUSTRALIA,ORDINARY FULLY PAID,AU000000AAU1
AAUAK,ADCORP AUSTRALIA,OPTION EXPIRING VARIOUS DATES EMP. EX VAR. PRICES,AU0000AAUAK8
ABC,ADELAIDE BRIGHTON,ORDINARY FULLY PAID,AU000000ABC7
ABCAK,ADELAIDE BRIGHTON,AWARD EXPIRING VARIOUS DATES EX NIL PRICE,AU0000ABCAK4
ADN,ADELAIDE RESOURCES,ORDINARY FULLY PAID,AU000000ADN0
ADNN,ADELAIDE RESOURCES,ORDINARY FULLY PAID DEFERRED,AU00000ADNN8
ADNO,ADELAIDE RESOURCES,OPTION EXPIRING 30-SEP-2016,AU00000ADNO6
ADNAS,ADELAIDE RESOURCES,PERFORMANCE RIGHTS,AU0000ADNAS0
ADQ,ADG GLOBAL SUPPLY.,ORDINARY FULLY PAID,AU000000ADQ3
ADQAK,ADG GLOBAL SUPPLY.,OPTION EXPIRING 30-JUN-2014 EX 15C,AU0000ADQAK0
ADQAM,ADG GLOBAL SUPPLY.,OPTION EXPIRING 30-JUN-2014 EX 11C,AU0000ADQAM6
ABY,ADITYA BIRLA,ORDINARY FULLY PAID,AU000000ABY1
AHZ,ADMEDUS LTD,ORDINARY FULLY PAID,AU000000AHZ5
AHZAA,ADMEDUS LTD,OPTION EXPIRING 1-FEB-19 EX 24.5C,AU0000AHZAA3
AHZAB,ADMEDUS LTD,OPTION EXPIRING 16-DEC-2018 EX 27C,AU0000AHZAB1
AHZAC,ADMEDUS LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AHZAC9
AHZAK,ADMEDUS LTD,OPTION EXPIRING 18-MAY-2017 EX 6C,AU0000AHZAK2
AHZAI,ADMEDUS LTD,OPTION EXPIRING 10-JUL-2016 EX 6C,AU0000AHZAI6
AHZAM,ADMEDUS LTD,OPTION EXPIRING 01-MAR-2018 EX 6C,AU0000AHZAM8
AHZAQ,ADMEDUS LTD,OPTION EXPIRING 18-JUN-2018 EX 9.5C,AU0000AHZAQ9
ADY,ADMIRALTY RESOURCES.,ORDINARY FULLY PAID,AU000000ADY7
ADYN,ADMIRALTY RESOURCES.,ORDINARY FULLY PAID DEFERRED,AU00000ADYN5
ADYAI,ADMIRALTY RESOURCES.,CONVERTIBLE SECURITY MATURING 26-JUN-2016,AU0000ADYAI8
ADJ,ADSLOT LTD,ORDINARY FULLY PAID,AU000000ADJ8
ADJAA,ADSLOT LTD,PERFORMANCE RIGHTS,AU0000ADJAA6
ABV,ADV BRAKING TECH LTD,ORDINARY FULLY PAID,AU000000ABV7
ABVN,ADV BRAKING TECH LTD,ORDINARY FULLY PAID DEFERRED,AU00000ABVN5
ABVO,ADV BRAKING TECH LTD,OPTION EXPIRING 15-AUG-2016,AU00000ABVO3
ABVAK,ADV BRAKING TECH LTD,12% UNSEC.RED.CONVERTIBLE NOTE MAT 15-AUG-2016,AU0000ABVAK4
ABVAM,ADV BRAKING TECH LTD,12% UNSEC.RED.CONV.NOTE MATURING 19-NOV-2016,AU0000ABVAM0
AES,ADVANCED ENERGY,ORDINARY FULLY PAID,AU000000AES7
AESAI,ADVANCED ENERGY,OPTION EXPIRING 10-OCT-2010 CLASS A EX 2C,AU0000AESAI8
AESAK,ADVANCED ENERGY,OPTION EXPIRING 10-APR-2009 CLASS B EX 1C,AU0000AESAK4
ACE,ADVANCED ENGINE,ORDINARY FULLY PAID,AU000000ACE1
ACEAA,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 3.6C,AU0000ACEAA9
ACEAB,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 3.7C,AU0000ACEAB7
ACEAC,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 7.1C,AU0000ACEAC5
ACEAD,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 6.2C,AU0000ACEAD3
ACEAE,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.65C,AU0000ACEAE1
