Date,Open,High,Low,Close,Adj Close,Volume
2004-08-13,3495.500000,3502.399902,3486.399902,3489.100098,3489.100098,464706600
2004-08-16,3491.199951,3493.300049,3479.300049,3480.699951,3480.699951,327084200
2004-08-17,3487.000000,3501.800049,3486.199951,3495.399902,3495.399902,430163200
2004-08-18,3496.000000,3499.600098,3485.000000,3488.600098,3488.600098,483614800
2004-08-19,3490.300049,3503.100098,3490.000000,3498.300049,3498.300049,575952000
2004-08-20,3502.100098,3513.100098,3499.399902,3507.800049,3507.800049,436506000
2004-08-23,3511.300049,3542.600098,3511.300049,3535.100098,3535.100098,417860800
2004-08-24,3536.199951,3541.500000,3530.899902,3539.699951,3539.699951,663177200
2004-08-25,3539.500000,3541.000000,3524.199951,3530.399902,3530.399902,593879400
2004-08-26,3530.199951,3543.000000,3529.800049,3537.899902,3537.899902,579672200
2004-08-27,3540.500000,3574.899902,3540.500000,3568.699951,3568.699951,704488600
2004-08-30,3567.699951,3576.399902,3560.500000,3562.399902,3562.399902,470291800
2004-08-31,3563.100098,3570.300049,3560.899902,3561.899902,3561.899902,562040800
2004-09-01,3563.300049,3591.000000,3563.300049,3581.600098,3581.600098,667406800
2004-09-02,3583.600098,3597.399902,3583.500000,3594.699951,3594.699951,605263200
2004-09-03,3596.399902,3600.000000,3582.899902,3584.399902,3584.399902,462391800
2004-09-06,3585.199951,3588.899902,3581.500000,3584.800049,3584.800049,366048200
2004-09-07,3586.100098,3597.800049,3585.699951,3595.600098,3595.600098,391343600
2004-09-08,3594.199951,3603.000000,3589.500000,3595.899902,3595.899902,500715400
2004-09-09,3596.600098,3607.899902,3594.500000,3598.399902,3598.399902,811760800
2004-09-10,3599.399902,3613.800049,3598.800049,3602.500000,3602.500000,552162600
2004-09-13,3601.500000,3619.800049,3601.399902,3615.500000,3615.500000,502720400
2004-09-14,3618.300049,3630.800049,3618.199951,3630.199951,3630.199951,527015000
2004-09-15,3632.100098,3642.000000,3627.600098,3636.500000,3636.500000,548360400
2004-09-16,3632.800049,3640.300049,3615.899902,3636.699951,3636.699951,803774400
2004-09-17,3638.699951,3647.600098,3637.199951,3643.899902,3643.899902,439340400
2004-09-20,3650.100098,3650.100098,3638.000000,3641.399902,3641.399902,474791800
2004-09-21,3638.699951,3645.199951,3627.899902,3642.699951,3642.699951,580237400
2004-09-22,3647.399902,3656.500000,3647.399902,3652.600098,3652.600098,611441200
2004-09-23,3649.300049,3651.100098,3636.899902,3645.899902,3645.899902,576701000
2004-09-24,3645.100098,3645.600098,3630.699951,3635.600098,3635.600098,814676200
2004-09-27,3636.899902,3646.399902,3623.000000,3632.800049,3632.800049,452527200
2004-09-28,3630.100098,3640.100098,3625.199951,3637.899902,3637.899902,518808800
2004-09-29,3646.800049,3671.199951,3646.800049,3667.100098,3667.100098,603587000
2004-09-30,3669.899902,3683.100098,3669.899902,3674.699951,3674.699951,633684800
2004-10-01,3674.600098,3681.000000,3663.500000,3669.000000,3669.000000,522741800
2004-10-04,3675.000000,3703.100098,3674.800049,3703.100098,3703.100098,233175400
2004-10-05,3706.800049,3709.500000,3699.300049,3705.000000,3705.000000,511701800
2004-10-06,3708.100098,3726.800049,3708.100098,3709.000000,3709.000000,596306400
2004-10-07,3709.500000,3722.000000,3702.899902,3710.500000,3710.500000,678097400
2004-10-08,3708.500000,3708.600098,3691.899902,3696.000000,3696.000000,623328400
2004-10-11,3698.399902,3715.300049,3698.399902,3714.600098,3714.600098,644324000
2004-10-12,3712.600098,3729.899902,3712.399902,3727.100098,3727.100098,651299400
2004-10-13,3723.699951,3734.000000,3720.600098,3734.000000,3734.000000,713636200
2004-10-14,3723.500000,3723.800049,3715.600098,3719.899902,3719.899902,874661000
